Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Participant ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Visit		1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Biological Sex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Age	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1
Month of Birth		1	1	1	1	1	1					1	1	0						
Year of Birth	1	1	1	1	1	1	1				1	1	1	0		1				
Education	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Race	1	1	1		1	1	1	1		1	1	1	1	0	1	1	1	1	1	1
Ethnicity	1	1	1			1	1	1		1	1			0		1	1		1	1
Marital Status	1	1	1		1	1	1			1		1	1				1			
Handedness		1	1	1		1	1	1		1	1	1	1	1	1	1			1	1
Height	1		1	1		1	0			1	0	1	1	0	1			1		
Weight	1		1	1		1	1			1	0	1	1	0	1			1		
BMI				1									1		1		1			
High Blood Pressure						1	1						1		1			1		
Living Situation		1	1	1			1					1	1							
Country of Residence						1	1	1			1			0		1			1	1
Patient Qualification					1	1														
Profession					1	1	1						1		1					
Living Arrangement						1	1						1							
