Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
Left Entorhinal Gray Matter Volume	1		1				1					1	1							
Right Entorhinal Gray Matter Volume	1		1				1					1	1							
Left Fusiform Gray Matter Volume	1		1				1			1		1	1							
Right Fusiform Gray Matter Volume	1		1				1					1	1							
Left Middle Temporal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Right Middle Temporal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Left Cerebellum Gray Matter Volume	1		1		1	1	1	1		1	1	1		1		1		1	1	1
Left Cerebellum White Matter Volume	1		1		1	1	1	1		1	1	1		1		1		1	1	1
Left Caudate Volume	1		1		1	1	1	1		1	1	1		1		1		1	1	1
Left Cortical Gray Matter Volume			1				1					1								
Right Pericalcarine Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Precentral Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Rostral Middle Frontal Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Superior Parietal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Right Supramarginal Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Right Insula Gray Matter Volume			1				1					1	1							
Left Cuneus Volume Gray Matter			1				1			1		1								
Left Inferior Temporal Gray Matter Volume	1		1				1					1	1							
Left Medial Orbitofrontal Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Pericalcarine Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Precentral Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Rostral Middle Frontal Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Supramarginal Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Right Caudal Middle Frontal Grey Matter Volume			1				1					1								
Right Choroid Plexus Volume			1		1	1	1	1			1	1		1		1		1	1	1
Right Frontal Pole Grey Matter Volume			1			1	1	1		1	1	1		1		1			1	1
Right Inferior Temporal Gray Matter Volume	1		1				1					1	1							
Right Medial Orbitofrontal Grey Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Parahippocampal Gray Matter Volume	1		1			1	1	1		1	1	1		1		1			1	1
Right Parahippocampal Gray Matter Volume	1		1			1	1	1		1	1	1		1		1			1	1
Fourth Ventricle Volume			1		1	1	1	1		1	1	1		1		1		1	1	1
Left Superior Parietal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Right Paracentral Grey Matter Volume			1				1					1	1							
Right Postcentral Grey Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Right Superior Frontal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Right Superior Temporal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Left Insula Grey Matter Volume			1				1					1	1							
Left Caudal Middle Frontal Gray Matter Volume			1			1	1	1			1	1		1		1			1	1
Left Choroid Plexus Volume			1		1	1	1	1			1	1		1		1		1	1	1
Left Inferior Parietal Gray Matter Volume	1		1				1					1	1							
Left Lateral Occipital Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Lingual Grey Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Left Paracentral Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Postcentral Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Left Superior Frontal Gray Matter Volume	1		1			1	1	1		1	1	1	1	1		1			1	1
Left Superior Temporal Gray Matter Volume	1		1				1					1	1							
Right Cuneus Gray Matter Volume										1		1								
Right Inferior Parietal Gray Matter Volume	1		1				1					1	1							
Right Lateral Occipital Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Lingual Grey Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Left Pars Opercularis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Pars Opercularis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Pars Orbitalis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Pars Orbitalis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Pars Triangularis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Pars Triangularis Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Left Posterior Cingulate Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Right Posterior Cingulate Gray Matter Volume			1			1	1	1		1	1	1	1	1		1			1	1
Left Rostral Anterior Cingulate Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Right Rostral Anterior Cingulate Gray Matter Volume			1			1	1	1			1	1	1	1		1			1	1
Brain Stem Grey Matter Volume	1		1		1	1	1	1			1	1		1		1		1	1	1
Cerebrospinal Fluid Volume			1		1	1	1	1		1	1	1	1	1		1		1	1	1
Left-vessel From Qdec			1		1	1	1	1			1	1		1		1		1	1	1
Left Caudal Anterior Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Caudal Anterior Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Caudal Middle Frontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Caudal Middle Frontal Mean Frontal Thickness					1	1	1	1			1	1	1	1		1			1	1
Left Cuneus Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Cuneus Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Entorightinal Mean Cortical			1		1	1	1	1			1	1	1	1		1			1	1
Right Entorightinal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Fusiform Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Fusiform Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Inferiorparietal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Inferiorparietal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Inferiortemporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Inferiortemporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Insula Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Insula Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Isthmus Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Isthmus Cingulate Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Lateraloccipital Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Lateraloccipital Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Lateralorbitofrontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Lateralorbitofrontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Lingual Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Lingual Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Medial Orbitofrontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Medial Orbitofrontal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Middle Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Middle Temporal Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Left Paracentral Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
Right Paracentral Mean Cortical Thickness			1		1	1	1	1			1	1	1	1		1			1	1
