Feature	A4	ABVIB	ADNI	AIBL	ANM	ARWIBO	DOD-ADNI	EDSD	EMIF	EPAD	I-ADNI	JADNI	NACC	OASIS	PREVENT-AD	PharmaCog	ROSMAP	VASCULAR	VITA	WMH-AD
A-beta 1-40 in Plasma			1			0		0						0		0			0	0
A-beta 1-42 in Plasma			1			0		0			0			0		0			1	0
Cystatin 3A in Plasma						1														
Cystaytin 3B in Plasma						1														
NEU Protein (HER2) in Plasma						1														
Interleukin-6 (IL-6) in Plasma			0			1														
Neurofilament Light Chain (NfL) in Plasma			1																	
Triggering Receptor Expressed on Myeloid Cells 2 (TREM2) in Plasma																				
Granulocyte Colony Stimulating Factor (G-CSF) in Plasma			0																	
Interleukin-15 (IL-15) in Plasma			0																	
Interleukin-8 (IL-8) in Plasma			1																	
Interleukin-10 (IL-10) in Plasma			0																	
Interleukin-1 alpha (IL-1 alpha) in Plasma			0																	
Interleukin-1 beta (IL-1 beta) in Plasma			0																	
Vascular Endothelial Growth Factor (VEGF) in Plasma			1																	
