CURIE,Definition,Synonyms,Feature,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,Rank
MONDO:0002050,A melancholy feeling of sadness and despair.,NCIT:C2982|DOID:1596|UMLS:CN236658,Depression,,BCDEPRES,Medical History.Depression,Geriatric_Depression,Depression,medical_history_term,BCDEPRES,DEP2YRS,r_depres,BCDEPRES,past_depression,hach10,DEP,Psych_side_diag,,,,,,,1
MONDO:0005098,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,HP:0001297|EFO:0000712|NCIT:C3390,Stroke,,BCSTROKE,Medical History.Stroke,,Stroke,medical_history_term,BCSTROKE,CBSTROKE,stroke_bl,BCSTROKE,,hach12,,,,,,,,,1
MONDO:0005180,"A progressive degenerative disorder of the central nervous system characterized by loss of dopamine producing neurons in the substantia nigra and the presence of Lewy bodies in the substantia nigra and locus coeruleus. Signs and symptoms include tremor which is most pronounced during rest, muscle rigidity, slowing of the voluntary movements, a tendency to fall back, and a mask-like facial expression.",EFO:0002508|NCIT:C26845|DOID:14330|UMLS:C0030567,Parkinson’s Disease,,DXPARK,Demographic.Ever been diagnosed with Parkinsons Disease,,,high_level_group_term,DXPARK,PD,parkinsonism_yn,DXPARK,,,,,,,,,,,1
MONDO:0005015,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,UMLS:C0011847|EFO:0000400|UMLS:C0011849|NCIT:C2985|DOID:9351|HP:0000819,Diabetes,,,Medical History.Diabetes,,,medical_history_term,,DIABETES,diabetes_sr_rx_ever,MHSDIABET,treatment_diabetes,diab,,,,,,,hxdiabetes,,1
MONDO:0011918,"A feeling of worry, nervousness, or unease about something with an uncertain outcome.",,Anxiety,,,Medical History.Anxiety,,,medical_history_term,NPIE,ANXIETY,,GADC,,ans,,Psych_side_diag,,,,,,,1
MONDO:0011122,A disorder involving an excessive amount of body fat.,EFO:0001073|NCIT:C3283|HP:0001513|UMLS:C0028754|DOID:9970,Obesity,,,,,Obesity,medical_history_term,,,,,,,,,,,,,,,1
MONDO:0004985,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.",UMLS:C0005586|EFO:0000289|DOID:3312|NCIT:C34423,Bipolar,,EXPSYCH,Demographic.Ever been diagnosed with Bipolar Disorder,,,medical_history_term,EXPSYCH,BIPOLAR,,PABIPOLAR,,,,,,,,,,,1
MONDO:0005090,"A major psychotic disorder characterized by abnormalities in the perception or expression of reality. It affects the cognitive and psychomotor functions. Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.",EFO:0000692|NCIT:C3362|HP:0100753|DOID:5419,Schizophrenia,,EXPSYCH,Demographic.Ever been diagnosed with Schizophrenia or Schizoaffective Disorder,,,high_level_group_term,EXPSYCH,SCHIZ,,PAFUSCHIZO,,,,Psych_side_diag,,,,,,,1
MONDO:0004992,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas (adenocarcinomas or squamous cell carcinomas), Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas.",NCIT:C9305|UMLS:C0006826|EFO:0000311|DOID:0050687|DOID:0050686|DOID:162,Cancer,,,Medical History.Cancer,,,medical_history_term,,CANCER,cancer_ever,MHSCANCER,past_cancer,tum,,,,,,,,,1
-,,,Thyroid,,AXT117,Medical History.Thyroid/Parathyroid Disease,,,high_level_term,,THYROID,thyroid_bl,MHSPITUIT,tsh_value,tiroid,,Comorbidities,,,,,,,1
