Feature,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB,Rank,IGNORE
pTau in CSF,NCIT:C84812,,,,PTAU,CSF.pTAU181_INNX_MELB,,Local_PTAU,ptau_result,CSF PTAU,CSFPTAU,,PTAU,ptau,CSF_P-Tau,CSF_P-Tau,CSF_P-Tau,CSF_P-Tau,CSF_P-Tau,CSF_P-Tau,CSF_P-Tau,,,,
tTau in CSF,EFO:0004760,"Is a quantification of total tau protein, a biomarker for Alzheimer's disease.",,,TAU,CSF.Tau_INNX_MELB,,Local_TTAU,ttau_result,CSF TAU,CSFTTAU,,TAU,tau,CSF_T-Tau,CSF_T-Tau,CSF_T-Tau,CSF_T-Tau,CSF_T-Tau,CSF_T-Tau,CSF_T-Tau,,,,
A-beta 1-42 in CSF,NCIT:C84809,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,,,ABETA,CSF.Ab42_INNX_MELB,,Local_AB42,abeta_1_42_result,CSF AB,CSFABETA,,ABETA,Amyloid_beta_1_42,CSF_ABETA42,CSF_ABETA42,CSF_ABETA42,CSF_ABETA42,CSF_ABETA42,CSF_ABETA42,CSF_ABETA42,,,,
YKL-40 in CSF,NCIT:C142294,The determination of the amount of YKL-40 protein present in a sample.,,,YKL,,,Central_CSF_YKL40,,,,,,,,,,,,,,,,,https://molecularneurodegeneration.biomedcentral.com/articles/10.1186/s13024-017-0226-4
SNAP-25 in CSF,NCIT:C127884,"Synaptosomal-associated protein 25 (206 aa, ~23 kDa) is encoded by the human SNAP25 gene. This protein plays a role in vesicular transport.",,,SNAP,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/SNAP25
Neurofilament Light Protein (NfL) in CSF,EFO:0009178,"Quantification of the levels of neurofilament light chain, typically in blood or cerebrospinal fluid. Used as a marker of neurodegeneration, in Alzheimer's disease, Amyotrophic Lateral Sclerosis, multiple sclerosis and Huntington's disease.",,,CSFNFL,,,Central_CSF_NFL,,,,,,,,,,,,,,,,,https://www.nature.com/articles/s41591-018-0304-3
Visinin-Like Protein 1 (VILIP-1) in CSF,-,A visinin-like protein 1 that is encoded in the genome of human.,,,VILIP,,,,,,,,,,,,,,,,,,,,"Visinin-Like Protein 1
https://www.biovendor.com/vilip-1?utm_source=google&utm_medium=organic"
Neurogranin (NRGN) in CSF,-,A neurogranin that is encoded in the genome of human.,,,NGRN,,,Central_CSF_Neurogranin,,,,,,,,,,,,,,,,,
Alpha-synuclein in CSF,NCIT:C90119,"Alpha-synuclein (140 aa, ~14 kDa) is encoded by the human SNCA gene. This protein plays a role in the modulation of presynaptic vesicle transport and release.",,,ALPHA_SYN,,,,,,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3281589/
Granulocyte Colony Stimulating Factor (G-GCSF) in CSF,NCIT:C26078,"Granulocyte colony-stimulating factor (207 aa, ~22 kDa) is encoded by the human CSF3 gene. This protein is involved in the regulation of the production, differentiation, and function of granulocytes.",,,,,,,,,,,,G_CSF,,,,,,,,,,,
Interleukin-15 (IL-15) in CSF,NCIT:C20517,"Interleukin-15 (162 aa, ~18 kDa) is encoded by the human IL15 gene. This protein plays a role in the regulation of both proliferation and activation of both T-cells and natural killer cells.",,,,,,,,,,,,IL_15,,,,,,,,,,,
Interleukin-8 (IL-8) in CSF,NCIT:C20473,"Interleukin-8 (99 aa, ~11 kDa) is encoded by the human CXCL8 gene. This protein is involved in chemotaxis and neutrophil activation.",,,,,,,,,,,,IL_8,,,,,,,,,,,
Vascular Endothelial Growth Factor (VEGF) in CSF,NCIT:C92514,The determination of the amount of vascular epithelial growth factor present in a sample.,,,,,,,,,,,,VEGF,,,,,,,,,,,
Triggering Receptor Expressed on Myeloid Cells 2 (TREM2) in CSF,NCIT:C125470,"Triggering receptor expressed on myeloid cells 2 (230 aa, ~25 kDa) is encoded by the human TREM2 gene. This protein plays a role in macrophage and dendritic cell immune responses.",,,MSD_STREM2,,,,,,,,,,,,,,,,,,,,
