Feature,Feature_old,CURIE,Definition,Synonyms,A4,ADNI,AIBL,ANM,EMIF,EPAD,JADNI,NACC,ROSMAP,DOD-ADNI,PREVENT-AD,ARWIBO,I-ADNI,EDSD,OASIS,PharmaCog,VITA,WMH-AD,VASCULAR,ABVIB
Left Entorhinal Gray Matter Volume,Left entorhinal gray matter volume,OMIT:0028811,,,LeftEntorhinal,ST24CV,,,,,lh_(entorhinal)GrayVol,LENT,,ST24CV,,,,,,,,,,
Right Entorhinal Gray Matter Volume,Right entorhinal gray matter volume,OMIT:0028811,,,RightEntorhinal,ST83CV,,,,,rh_(entorhinal)GrayVol,RENT,,ST83CV,,,,,,,,,,
Left Fusiform Gray Matter Volume,Left fusiform gray matter volume,OMIT:0028811,,,LeftFusiform,ST26CV,,,,llfusigv,lh_(fusiform)GrayVol,LFUS,,ST26CV,,,,,,,,,,
Right Fusiform Gray Matter Volume,Right fusiform gray matter volume,OMIT:0028811,,,RightFusiform,ST85CV,,,,,rh_(fusiform)GrayVol,RFUS,,ST85CV,,,,,,,,,,
Left Middle Temporal Gray Matter Volume,Left middle temporal gray matter volume,FMA:72686,,,LeftMiddletemporal,ST40CV,,,,llsfgmv,lh_(middletemporal)GrayVol,LMIDTEMP,,ST40CV,,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,lh_middletemporal_volume,,
Right Middle Temporal Gray Matter Volume,Right middle temporal gray matter volume,FMA:72686,,,RightMiddletemporal,ST99CV,,,,lrsfgmv,rh_(middletemporal)GrayVol,RMIDTEMP,,ST99CV,,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,rh_middletemporal_volume,,
Left Cerebellum Gray Matter Volume,Left Cerebellum Gray Matter volume,FMA:83924,,,LeftCerebellarGrayMatter,ST17SV,,Left-Cerebellum-Cortex,,llcbev,(Left-Cerebellum-Cortex)Volume_mm3,,,ST17SV,,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left-Cerebellum-Cortex,Left_Cerebellum_Cortex,
Left Cerebellum White Matter Volume,Left Cerebellum White Matter Volume,FMA:83924,,,LeftCerebellarWhiteMatter,ST18SV,,Left-Cerebellum-White-Matter,,llcbwmv,(Left-Cerebellum-White-Matter)Volume_mm3,,,ST18SV,,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left-Cerebellum-White-Matter,Left_Cerebellum_White_Matter,
Left Caudate Volume,Left Caudate Volume,FMA:72827,,,LeftCaudate,ST16SV,,Left-Caudate,,llcv,(Left-Caudate)Volume_mm3,,,ST16SV,,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left-Caudate,Left_Caudate,
Left Cortical Gray Matter Volume,Left_Cortical_Gray_Matter volume,-,,,,ST147SV,,,,,lhCortexVol,,,ST147SV,,,,,,,,,,
