Cohort,Aβ1-42_GMM,pTau_GMM,tTau_GMM,Aβ1-42_K-Means,pTau_K-Means,tTau_K-Means,Aβ1-42_Tertile,pTau_Tertile,tTau_Tertile,Aβ1-42_ROC,pTau_ROC,tTau_ROC,Aβ1-42_Mean ±2 SD,pTau_Mean ±2 SD,tTau_Mean ±2 SD
ADNI,"986.9 [986.3, 987.5]","34.7 [34.6, 34.7]","356.9 [356.3, 357.4]","972.6 [971.9, 973.2]","28.1 [28.1, 28.1]","288.2 [288.0, 288.4]","833.3 [831.9, 834.6]","21.8 [21.8, 21.9]","240.1 [239.7, 240.4]","819.4 [817.1, 821.8]","23.6 [23.5, 23.6]","259.0 [258.3, 259.7]","283.8 [282.5, 285.1]","40.7 [40.7, 40.8]","408.5 [407.9, 409.1]"
EPAD,"1035.7 [1035.2, 1036.1]","27.8 [27.8, 27.8]","307.0 [306.8, 307.3]","1033.3 [1032.9, 1033.8]","19.8 [19.8, 19.9]","223.7 [223.6, 223.9]","884.5 [883.9, 885.1]","19.9 [19.8, 19.9]","228.2 [228.0, 228.4]","684.7 [682.0, 687.5]","23.9 [23.7, 24.2]","267.9 [264.9, 270.8]","339.0 [338.4, 339.6]","43.3 [43.2, 43.3]","435.9 [435.5, 436.4]"
AIBL,"749.0 [745.2, 752.8]","87.8 [87.1, 88.5]","604.5 [599.6, 609.4]","684.0 [682.2, 685.8]","77.7 [77.2, 78.1]","530.6 [525.9, 535.4]",,,,,,,,,
ARWIBO,"589.2 [586.4, 592.0]","155.0 [150.6, 159.5]","531.6 [528.4, 534.7]","523.8 [522.4, 525.2]","69.1 [69.0, 69.3]","432.1 [429.9, 434.2]",,,,,,,,,
EDSD,"782.2 [778.2, 786.2]","119.2 [118.2, 120.2]","584.8 [579.2, 590.5]","741.8 [738.1, 745.5]","86.7 [86.3, 87.2]","547.6 [544.6, 550.6]",,,,,,,,,
PREVENT-AD,"1187.4 [1168.6, 1206.2]","71.1 [70.6, 71.7]","466.5 [460.4, 472.6]","1146.4 [1144.9, 1147.9]","50.8 [50.6, 50.9]","308.8 [307.4, 310.2]","1098.7 [1097.5, 1100.0]","53.0 [52.9, 53.1]","303.3 [302.8, 303.8]",,,,"593.6 [591.1, 596.2]","89.2 [89.0, 89.5]","593.3 [590.8, 595.8]"
PharmaCog,"792.9 [791.8, 794.1]","93.0 [92.8, 93.2]","773.4 [758.6, 788.2]","762.2 [760.4, 763.9]","68.6 [68.2, 69.0]","466.9 [465.4, 468.4]",,,,,,,,,
NACC_ELISA,"594.1 [593.1, 595.1]","81.7 [81.1, 82.2]","564.6 [556.7, 572.6]","586.1 [585.3, 586.8]","61.6 [61.5, 61.8]","492.1 [490.8, 493.3]","625.5 [624.3, 626.8]","48.3 [48.2, 48.3]","371.3 [370.2, 372.4]","451.5 [449.3, 453.6]","61.2 [61.0, 61.4]","500.6 [497.6, 503.6]","294.4 [293.2, 295.6]","87.3 [87.0, 87.6]","725.3 [723.1, 727.5]"
EMIF_ELISA,"742.1 [741.5, 742.7]","82.1 [82.0, 82.2]","526.6 [525.0, 528.1]","697.7 [696.1, 699.3]","64.9 [64.8, 64.9]","432.5 [432.0, 433.1]","541.0 [540.2, 541.8]","52.3 [52.2, 52.4]","268.8 [268.3, 269.3]","580.2 [577.3, 583.0]","62.6 [62.3, 62.9]","335.7 [334.4, 337.0]","175.2 [174.2, 176.3]","94.8 [94.5, 95.1]","653.8 [648.3, 659.2]"
NACC_XMAP,"298.7 [297.6, 299.8]","60.8 [60.2, 61.4]","94.5 [94.1, 95.0]","290.7 [289.2, 292.2]","40.1 [40.1, 40.2]","70.2 [70.1, 70.4]","248.5 [248.0, 249.0]","36.5 [36.4, 36.5]","54.0 [53.9, 54.1]","225.3 [225.0, 225.7]","40.3 [40.1, 40.4]","62.7 [62.3, 63.1]","23.6 [22.9, 24.2]","68.9 [68.6, 69.1]","99.3 [99.0, 99.6]"
EMIF_XMAP,"386.9 [385.2, 388.6]","51.6 [51.3, 51.9]","227.7 [223.2, 232.2]","363.3 [362.6, 363.9]","37.5 [37.5, 37.6]","128.9 [128.5, 129.3]","446.7 [445.5, 447.8]","31.4 [31.2, 31.5]","80.9 [80.5, 81.2]","375.4 [374.0, 376.8]","30.6 [30.4, 30.8]","98.6 [98.2, 98.9]","247.6 [245.6, 249.6]","54.5 [54.2, 54.7]","122.7 [122.3, 123.0]"
DOD-ADNI,"1412.8 [1401.1, 1424.6]","26.6 [26.5, 26.6]","304.0 [302.8, 305.1]","1273.5 [1269.3, 1277.6]","22.4 [22.3, 22.4]","249.8 [249.1, 250.4]","928.4 [925.8, 931.0]","19.8 [19.8, 19.9]","232.7 [232.2, 233.1]",,,,"289.3 [286.8, 291.9]","34.2 [34.2, 34.3]","369.6 [368.8, 370.4]"
JADNI,"414.7 [413.3, 416.2]","61.1 [60.9, 61.3]","133.9 [133.0, 134.7]","392.5 [391.3, 393.8]","59.9 [59.7, 60.0]","129.0 [128.3, 129.7]","392.7 [391.5, 393.9]","38.5 [38.5, 38.6]","72.0 [71.8, 72.2]","343.1 [342.2, 344.1]","46.0 [45.8, 46.2]","84.9 [84.7, 85.0]","191.2 [190.1, 192.4]","65.1 [64.7, 65.4]","126.3 [125.7, 127.0]"
