,A-T-N-,A-T+N+,A-T-N+,A-T+N-,A+T+N-,A+T-N-,A+T-N+,A+T+N+
ADNI,266.0,32.0,7.0,0.0,44.0,419.0,6.0,243.0
EPAD,588.0,55.0,2.0,6.0,20.0,409.0,8.0,149.0
AIBL,15.0,0.0,2.0,1.0,0.0,28.0,2.0,9.0
ARWIBO,54.0,1.0,4.0,2.0,3.0,118.0,26.0,9.0
EDSD,20.0,1.0,5.0,1.0,2.0,33.0,11.0,12.0
PREVENT-AD,18.0,5.0,1.0,0.0,2.0,99.0,1.0,7.0
PharmaCog,47.0,0.0,0.0,1.0,20.0,74.0,0.0,3.0
NACC,170.0,6.0,22.0,3.0,3.0,156.0,81.0,65.0
EMIF,313.0,22.0,11.0,14.0,52.0,411.0,42.0,149.0
DOD-ADNI,26.0,8.0,1.0,1.0,0.0,69.0,0.0,8.0
JADNI,62.0,5.0,1.0,2.0,35.0,35.0,2.0,55.0
